id,name,code,slug,slug2,state_id:id,country_id:id,type
1,Phường Hoàn Kiếm,70,phuong_hoan_kiem,ph,base.state_vn_VN-HN,base.vn,0
2,Phường Cửa Nam,73,phuong_cua_nam,ph,base.state_vn_VN-HN,base.vn,0
3,Phường Ba Đình,4,phuong_ba_dinh,ph,base.state_vn_VN-HN,base.vn,0
4,Phường Ngọc Hà,8,phuong_ngoc_ha,ph,base.state_vn_VN-HN,base.vn,0
5,Phường Giảng Võ,25,phuong_giang_vo,ph,base.state_vn_VN-HN,base.vn,0
6,Phường Hai Bà Trưng,256,phuong_hai_ba_trung,ph,base.state_vn_VN-HN,base.vn,0
7,Phường Vĩnh Tuy,283,phuong_vinh_tuy,ph,base.state_vn_VN-HN,base.vn,0
8,Phường Bạch Mai,277,phuong_bach_mai,ph,base.state_vn_VN-HN,base.vn,0
9,Phường Đống Đa,235,phuong_dong_da,ph,base.state_vn_VN-HN,base.vn,0
10,Phường Kim Liên,226,phuong_kim_lien,ph,base.state_vn_VN-HN,base.vn,0
11,Phường Văn Miếu - Quốc Tử Giám,196,phuong_van_mieu_quoc_tu_giam,ph,base.state_vn_VN-HN,base.vn,0
12,Phường Láng,187,phuong_lang,ph,base.state_vn_VN-HN,base.vn,0
13,Phường Ô Chợ Dừa,190,phuong_o_cho_dua,ph,base.state_vn_VN-HN,base.vn,0
14,Phường Hồng Hà,97,phuong_hong_ha,ph,base.state_vn_VN-HN,base.vn,0
15,Phường Lĩnh Nam,328,phuong_linh_nam,ph,base.state_vn_VN-HN,base.vn,0
16,Phường Hoàng Mai,319,phuong_hoang_mai,ph,base.state_vn_VN-HN,base.vn,0
17,Phường Vĩnh Hưng,304,phuong_vinh_hung,ph,base.state_vn_VN-HN,base.vn,0
18,Phường Tương Mai,313,phuong_tuong_mai,ph,base.state_vn_VN-HN,base.vn,0
19,Phường Định Công,316,phuong_dinh_cong,ph,base.state_vn_VN-HN,base.vn,0
20,Phường Hoàng Liệt,337,phuong_hoang_liet,ph,base.state_vn_VN-HN,base.vn,0
21,Phường Yên Sở,331,phuong_yen_so,ph,base.state_vn_VN-HN,base.vn,0
22,Phường Thanh Xuân,367,phuong_thanh_xuan,ph,base.state_vn_VN-HN,base.vn,0
23,Phường Khương Đình,364,phuong_khuong_dinh,ph,base.state_vn_VN-HN,base.vn,0
24,Phường Phương Liệt,352,phuong_phuong_liet,ph,base.state_vn_VN-HN,base.vn,0
25,Phường Cầu Giấy,167,phuong_cau_giay,ph,base.state_vn_VN-HN,base.vn,0
26,Phường Nghĩa Đô,160,phuong_nghia_do,ph,base.state_vn_VN-HN,base.vn,0
27,Phường Yên Hòa,175,phuong_yen_hoa,ph,base.state_vn_VN-HN,base.vn,0
28,Phường Tây Hồ,103,phuong_tay_ho,ph,base.state_vn_VN-HN,base.vn,0
29,Phường Phú Thượng,91,phuong_phu_thuong,ph,base.state_vn_VN-HN,base.vn,0
30,Phường Tây Tựu,613,phuong_tay_tuu,ph,base.state_vn_VN-HN,base.vn,0
31,Phường Phú Diễn,619,phuong_phu_dien,ph,base.state_vn_VN-HN,base.vn,0
32,Phường Xuân Đỉnh,611,phuong_xuan_dinh,ph,base.state_vn_VN-HN,base.vn,0
33,Phường Đông Ngạc,602,phuong_dong_ngac,ph,base.state_vn_VN-HN,base.vn,0
34,Phường Thượng Cát,598,phuong_thuong_cat,ph,base.state_vn_VN-HN,base.vn,0
35,Phường Từ Liêm,592,phuong_tu_liem,ph,base.state_vn_VN-HN,base.vn,0
36,Phường Xuân Phương,622,phuong_xuan_phuong,ph,base.state_vn_VN-HN,base.vn,0
37,Phường Tây Mỗ,634,phuong_tay_mo,ph,base.state_vn_VN-HN,base.vn,0
38,Phường Đại Mỗ,637,phuong_dai_mo,ph,base.state_vn_VN-HN,base.vn,0
39,Phường Long Biên,148,phuong_long_bien,ph,base.state_vn_VN-HN,base.vn,0
40,Phường Bồ Đề,130,phuong_bo_de,ph,base.state_vn_VN-HN,base.vn,0
41,Phường Việt Hưng,127,phuong_viet_hung,ph,base.state_vn_VN-HN,base.vn,0
42,Phường Phúc Lợi,136,phuong_phuc_loi,ph,base.state_vn_VN-HN,base.vn,0
43,Phường Hà Đông,9556,phuong_ha_dong,ph,base.state_vn_VN-HN,base.vn,0
44,Phường Dương Nội,9886,phuong_duong_noi,ph,base.state_vn_VN-HN,base.vn,0
45,Phường Yên Nghĩa,9562,phuong_yen_nghia,ph,base.state_vn_VN-HN,base.vn,0
46,Phường Phú Lương,9568,phuong_phu_luong,ph,base.state_vn_VN-HN,base.vn,0
47,Phường Kiến Hưng,9552,phuong_kien_hung,ph,base.state_vn_VN-HN,base.vn,0
48,Xã Thanh Trì,640,xa_thanh_tri,xa,base.state_vn_VN-HN,base.vn,1
49,Xã Đại Thanh,664,xa_dai_thanh,xa,base.state_vn_VN-HN,base.vn,1
50,Xã Nam Phù,685,xa_nam_phu,xa,base.state_vn_VN-HN,base.vn,1
51,Xã Ngọc Hồi,679,xa_ngoc_hoi,xa,base.state_vn_VN-HN,base.vn,1
52,Phường Thanh Liệt,646,phuong_thanh_liet,ph,base.state_vn_VN-HN,base.vn,0
53,Xã Thượng Phúc,10231,xa_thuong_phuc,xa,base.state_vn_VN-HN,base.vn,1
54,Xã Thường Tín,10183,xa_thuong_tin,xa,base.state_vn_VN-HN,base.vn,1
55,Xã Chương Dương,10237,xa_chuong_duong,xa,base.state_vn_VN-HN,base.vn,1
56,Xã Hồng Vân,10210,xa_hong_van,xa,base.state_vn_VN-HN,base.vn,1
57,Xã Phú Xuyên,10273,xa_phu_xuyen,xa,base.state_vn_VN-HN,base.vn,1
58,Xã Phượng Dực,10279,xa_phuong_duc,xa,base.state_vn_VN-HN,base.vn,1
59,Xã Chuyên Mỹ,10330,xa_chuyen_my,xa,base.state_vn_VN-HN,base.vn,1
60,Xã Đại Xuyên,10333,xa_dai_xuyen,xa,base.state_vn_VN-HN,base.vn,1
61,Xã Thanh Oai,10114,xa_thanh_oai,xa,base.state_vn_VN-HN,base.vn,1
62,Xã Bình Minh,10141,xa_binh_minh,xa,base.state_vn_VN-HN,base.vn,1
63,Xã Tam Hưng,10144,xa_tam_hung,xa,base.state_vn_VN-HN,base.vn,1
64,Xã Dân Hòa,10180,xa_dan_hoa,xa,base.state_vn_VN-HN,base.vn,1
65,Xã Vân Đình,10354,xa_van_dinh,xa,base.state_vn_VN-HN,base.vn,1
66,Xã Ứng Thiên,10369,xa_ung_thien,xa,base.state_vn_VN-HN,base.vn,1
67,Xã Hòa Xá,10417,xa_hoa_xa,xa,base.state_vn_VN-HN,base.vn,1
68,Xã Ứng Hòa,10402,xa_ung_hoa,xa,base.state_vn_VN-HN,base.vn,1
69,Xã Mỹ Đức,10441,xa_my_duc,xa,base.state_vn_VN-HN,base.vn,1
70,Xã Hồng Sơn,10465,xa_hong_son,xa,base.state_vn_VN-HN,base.vn,1
71,Xã Phúc Sơn,10459,xa_phuc_son,xa,base.state_vn_VN-HN,base.vn,1
72,Xã Hương Sơn,10489,xa_huong_son,xa,base.state_vn_VN-HN,base.vn,1
73,Phường Chương Mỹ,10015,phuong_chuong_my,ph,base.state_vn_VN-HN,base.vn,0
74,Xã Phú Nghĩa,10030,xa_phu_nghia,xa,base.state_vn_VN-HN,base.vn,1
75,Xã Xuân Mai,10018,xa_xuan_mai,xa,base.state_vn_VN-HN,base.vn,1
76,Xã Trần Phú,10081,xa_tran_phu,xa,base.state_vn_VN-HN,base.vn,1
77,Xã Hòa Phú,10108,xa_hoa_phu,xa,base.state_vn_VN-HN,base.vn,1
78,Xã Quảng Bị,10084,xa_quang_bi,xa,base.state_vn_VN-HN,base.vn,1
79,Xã Minh Châu,9661,xa_minh_chau,xa,base.state_vn_VN-HN,base.vn,1
80,Xã Quảng Oai,9619,xa_quang_oai,xa,base.state_vn_VN-HN,base.vn,1
81,Xã Vật Lại,9664,xa_vat_lai,xa,base.state_vn_VN-HN,base.vn,1
82,Xã Cổ Đô,9634,xa_co_do,xa,base.state_vn_VN-HN,base.vn,1
83,Xã Bất Bạt,9676,xa_bat_bat,xa,base.state_vn_VN-HN,base.vn,1
84,Xã Suối Hai,9694,xa_suoi_hai,xa,base.state_vn_VN-HN,base.vn,1
85,Xã Ba Vì,9700,xa_ba_vi,xa,base.state_vn_VN-HN,base.vn,1
86,Xã Yên Bài,9706,xa_yen_bai,xa,base.state_vn_VN-HN,base.vn,1
87,Phường Sơn Tây,9574,phuong_son_tay,ph,base.state_vn_VN-HN,base.vn,0
88,Phường Tùng Thiện,9604,phuong_tung_thien,ph,base.state_vn_VN-HN,base.vn,0
89,Xã Đoài Phương,9616,xa_doai_phuong,xa,base.state_vn_VN-HN,base.vn,1
90,Xã Phúc Thọ,9715,xa_phuc_tho,xa,base.state_vn_VN-HN,base.vn,1
91,Xã Phúc Lộc,9739,xa_phuc_loc,xa,base.state_vn_VN-HN,base.vn,1
92,Xã Hát Môn,9772,xa_hat_mon,xa,base.state_vn_VN-HN,base.vn,1
93,Xã Thạch Thất,9955,xa_thach_that,xa,base.state_vn_VN-HN,base.vn,1
94,Xã Hạ Bằng,10009,xa_ha_bang,xa,base.state_vn_VN-HN,base.vn,1
95,Xã Tây Phương,10006,xa_tay_phuong,xa,base.state_vn_VN-HN,base.vn,1
96,Xã Hòa Lạc,9988,xa_hoa_lac,xa,base.state_vn_VN-HN,base.vn,1
97,Xã Yên Xuân,4936,xa_yen_xuan,xa,base.state_vn_VN-HN,base.vn,1
98,Xã Quốc Oai,9895,xa_quoc_oai,xa,base.state_vn_VN-HN,base.vn,1
99,Xã Hưng Đạo,9931,xa_hung_dao,xa,base.state_vn_VN-HN,base.vn,1
100,Xã Kiều Phú,9928,xa_kieu_phu,xa,base.state_vn_VN-HN,base.vn,1
101,Xã Phú Cát,9922,xa_phu_cat,xa,base.state_vn_VN-HN,base.vn,1
102,Xã Hoài Đức,9832,xa_hoai_duc,xa,base.state_vn_VN-HN,base.vn,1
103,Xã Dương Hòa,9838,xa_duong_hoa,xa,base.state_vn_VN-HN,base.vn,1
104,Xã Sơn Đồng,9859,xa_son_dong,xa,base.state_vn_VN-HN,base.vn,1
105,Xã An Khánh,9877,xa_an_khanh,xa,base.state_vn_VN-HN,base.vn,1
106,Xã Đan Phượng,9784,xa_dan_phuong,xa,base.state_vn_VN-HN,base.vn,1
107,Xã Ô Diên,9817,xa_o_dien,xa,base.state_vn_VN-HN,base.vn,1
108,Xã Liên Minh,9793,xa_lien_minh,xa,base.state_vn_VN-HN,base.vn,1
109,Xã Gia Lâm,565,xa_gia_lam,xa,base.state_vn_VN-HN,base.vn,1
110,Xã Thuận An,562,xa_thuan_an,xa,base.state_vn_VN-HN,base.vn,1
111,Xã Bát Tràng,583,xa_bat_trang,xa,base.state_vn_VN-HN,base.vn,1
112,Xã Phù Đổng,541,xa_phu_dong,xa,base.state_vn_VN-HN,base.vn,1
113,Xã Thư Lâm,484,xa_thu_lam,xa,base.state_vn_VN-HN,base.vn,1
114,Xã Đông Anh,454,xa_dong_anh,xa,base.state_vn_VN-HN,base.vn,1
115,Xã Phúc Thịnh,466,xa_phuc_thinh,xa,base.state_vn_VN-HN,base.vn,1
116,Xã Thiên Lộc,493,xa_thien_loc,xa,base.state_vn_VN-HN,base.vn,1
117,Xã Vĩnh Thanh,508,xa_vinh_thanh,xa,base.state_vn_VN-HN,base.vn,1
118,Xã Mê Linh,9022,xa_me_linh,xa,base.state_vn_VN-HN,base.vn,1
119,Xã Yên Lãng,8980,xa_yen_lang,xa,base.state_vn_VN-HN,base.vn,1
